id_consumo;id_insumo;id_maquina;cantidad;fecha
146;2006758;MA055;3;19/1/2021
147;2405862;MA110;1;19/1/2021
148;1200700;VA162;10;20/1/2021
149;1200701;VA140;585;20/1/2021
150;1200702;OR096;585;20/1/2021
151;1200705;VA134;15;20/1/2021
152;1200711;MA045;575;20/1/2021
153;1200726;VA158;15;20/1/2021
154;1203460;MA113;1000;20/1/2021
155;1203495;MA146;1000;20/1/2021
156;1203592;MA168;1000;20/1/2021
157;1203606;MA121;1000;20/1/2021
158;1204137;VA163;2500;20/1/2021
159;1206176;MA011;1000;20/1/2021
160;1206524;MA073;600;20/1/2021
161;1906452;MA015;1;20/1/2021
162;2006758;MA036;1;20/1/2021
163;2006758;MA175;2;20/1/2021
164;3200506;MA173;4;20/1/2021
165;1203036;MA108;2000;21/1/2021
166;1203290;MA080;2;21/1/2021
167;2006758;MA127;1;21/1/2021
168;2006758;MA089;10;21/1/2021
169;2035244;MA001;10;21/1/2021
170;2100010;MA086;1;21/1/2021
171;2107597;MA122;2;21/1/2021
172;2107600;OR149;2;21/1/2021
173;2110091;MA086;1;21/1/2021
174;2110105;MA465;2;21/1/2021
175;2405862;OR125;1;21/1/2021
176;3001121;MA080;15;21/1/2021
177;3001415;VA161;2;21/1/2021
178;3002637;MA150;3;21/1/2021
179;3003136;VA160;2;21/1/2021
180;1200821;OR149;2000;22/1/2021
181;1201350;MA080;1;22/1/2021
182;1202286;MA172;500;22/1/2021
183;1204823;VA158;500;22/1/2021
184;1205137;VA135;500;22/1/2021
185;1205145;MA147;500;22/1/2021
186;2006758;MA121;1;22/1/2021
187;2006758;VA158;1;22/1/2021
188;2100495;MA107;3;22/1/2021
189;1204300;MA005;2500;23/1/2021
190;1207790;MA101;1;23/1/2021
191;2006758;MA009;2;23/1/2021
192;2006758;MA100;20;23/1/2021
193;1201350;MA103;1;25/1/2021
194;1203290;MA050;1;25/1/2021
195;2100282;OR143;4;25/1/2021
196;1200178;MA169;250;27/1/2021
197;1200259;MA019;250;27/1/2021
198;1200542;MA043;250;27/1/2021
199;1200821;OR149;2000;27/1/2021
200;1202286;OR143;500;27/1/2021
201;1203038;MA129;2500;27/1/2021
202;1203290;MA171;3;27/1/2021
203;1203525;VA163;250;27/1/2021
204;1204823;MA042;500;27/1/2021
205;1205137;MA079;500;27/1/2021
206;1205145;MA088;500;27/1/2021
207;1207990;MA153;2250;27/1/2021
208;1210832;MA168;1;27/1/2021
209;2006758;OR124;1;27/1/2021
210;2006758;MA072;10;27/1/2021
211;2100215;MA045;4;27/1/2021
212;2100266;OR096;12;27/1/2021
213;2201046;MA119;3800;27/1/2021
214;1201350;MA176;1;28/1/2021
215;1207393;MA147;1750;28/1/2021
216;1207401;MA102;1750;28/1/2021
217;2152916;MA103;3;28/1/2021
218;2152916;VA140;1;28/1/2021
219;3003136;OR149;3;28/1/2021
220;3200506;MA128;6;28/1/2021
221;1200010;MA010;250;29/1/2021
222;1200011;OR123;250;29/1/2021
223;1200012;MA128;250;29/1/2021
224;1200038;MA085;250;29/1/2021
225;1200046;OR096;250;29/1/2021
226;1200194;MA101;250;29/1/2021
227;1200432;MA073;250;29/1/2021
228;1200435;MA465;250;29/1/2021
229;1200666;OR148;250;29/1/2021
230;1200821;MA042;2000;29/1/2021
231;1201891;MA068;250;29/1/2021
232;1202286;MA154;500;29/1/2021
233;1203029;VA164;250;29/1/2021
234;1203509;MA079;250;29/1/2021
235;1204823;MA174;500;29/1/2021
236;1205137;MA089;500;29/1/2021
237;1205145;MA116;500;29/1/2021
238;1206400;MA109;500;29/1/2021
239;1206494;MA080;500;29/1/2021
240;1207114;VA132;500;29/1/2021
241;1207130;VA166;250;29/1/2021
242;1207385;MA113;250;29/1/2021
243;1207489;VA163;250;29/1/2021
244;1208487;OR148;250;29/1/2021
245;1211933;MA131;250;29/1/2021
246;1213021;MA101;250;29/1/2021
247;2004445;MA128;4;29/1/2021
248;2009048;OR151;200;29/1/2021
249;2009064;VA161;200;29/1/2021
250;2027675;VA160;200;29/1/2021
251;2027683;MA111;200;29/1/2021
252;2101489;MA147;50;29/1/2021
253;2154888;VA136;50;29/1/2021
254;3001121;OR096;15;29/1/2021
255;1201350;MA050;1;30/1/2021
256;1902401;OR149;3;30/1/2021
257;2005786;MA011;30;30/1/2021
258;2024001;OR144;500;30/1/2021
259;2024696;MA103;500;30/1/2021
260;2024704;OR125;500;30/1/2021
261;2024712;MA169;500;30/1/2021
262;2025313;VA135;30;30/1/2021
263;2100547;VA139;16;30/1/2021
264;2103112;MA114;19;30/1/2021
265;2104477;MA109;8;30/1/2021
266;2107749;MA154;10;30/1/2021
267;2107773;VA160;24;30/1/2021
268;2128408;VA132;1;30/1/2021
269;1902401;MA131;3;31/1/2021
270;1200821;MA146;2000;1/2/2021
271;1202286;OR143;500;1/2/2021
272;1204823;MA173;500;1/2/2021
273;1205137;VA133;500;1/2/2021
274;1205145;MA126;500;1/2/2021
275;1201350;VA132;4;3/2/2021
276;1203012;OR144;2;3/2/2021
277;1203015;MA094;20;3/2/2021
278;1204300;MA110;1000;3/2/2021
279;1207990;MA072;2500;3/2/2021
280;1210832;MA168;120;3/2/2021
281;1902401;VA159;4;3/2/2021
282;1906061;OR096;4;3/2/2021
283;2000533;MA174;1;3/2/2021
284;2006758;MA110;10;3/2/2021
285;2100266;MA019;12;3/2/2021
286;2100282;MA079;20;3/2/2021
287;2100290;MA129;20;3/2/2021
288;2100495;MA103;2;3/2/2021
289;2101742;MA175;100;3/2/2021
